"location","cause","sex","IRadjust","CFadjust","CFAARC"
"Greece","hhd","Female",0.85,0.85,1.01
"Greece","hhd","Male",0.9,0.9,0.99
"Greece","hstroke","Female",0.7,0.85,1.02
"Greece","hstroke","Male",0.75,0.9,0.99
"Greece","ihd","Female",0.75,0.7,0.97
"Greece","ihd","Male",0.8,0.8,0.98
"Greece","istroke","Female",0.7,0.75,0.99
"Greece","istroke","Male",0.75,0.75,0.98
"Grenada","hhd","Female",0.7,0.95,1.01
"Grenada","hhd","Male",0.7,0.95,1
"Grenada","hstroke","Female",0.7,0.85,0.96
"Grenada","hstroke","Male",0.7,0.85,0.97
"Grenada","ihd","Female",0.7,0.95,0.97
"Grenada","ihd","Male",0.7,0.95,0.97
"Grenada","istroke","Female",0.7,0.95,0.95
"Grenada","istroke","Male",0.7,0.95,0.95
"Guatemala","hhd","Female",0.85,0.8,1.02
"Guatemala","hhd","Male",0.9,0.8,1.01
"Guatemala","hstroke","Female",0.9,0.85,0.96
"Guatemala","hstroke","Male",0.85,0.85,0.97
"Guatemala","ihd","Female",0.8,0.7,0.99
"Guatemala","ihd","Male",0.8,0.7,0.99
"Guatemala","istroke","Female",0.95,0.7,0.97
"Guatemala","istroke","Male",0.9,0.7,0.96
"Guinea","hhd","Female",0.8,0.9,1.01
"Guinea","hhd","Male",0.9,0.9,1.01
"Guinea","hstroke","Female",0.8,0.9,0.98
"Guinea","hstroke","Male",0.85,0.85,1
"Guinea","ihd","Female",0.8,0.9,1
"Guinea","ihd","Male",0.9,0.9,1.01
"Guinea","istroke","Female",0.75,0.75,1
"Guinea","istroke","Male",0.85,0.75,1.02
"Guinea-Bissau","hhd","Female",0.85,0.95,0.98
"Guinea-Bissau","hhd","Male",0.85,0.9,1
"Guinea-Bissau","hstroke","Female",0.75,0.85,0.96
"Guinea-Bissau","hstroke","Male",0.8,0.9,0.97
"Guinea-Bissau","ihd","Female",0.8,0.9,0.98
"Guinea-Bissau","ihd","Male",0.8,0.85,0.99
"Guinea-Bissau","istroke","Female",0.8,0.9,0.97
"Guinea-Bissau","istroke","Male",0.85,0.85,0.97
