"sex","location","cause","IRadjust","CFadjust"
"Female","Iceland","hstroke",0.8,0.8
"Female","Iceland","ihd",0.8,0.75
"Female","Iceland","istroke",0.8,0.8
"Male","Iceland","hhd",0.9,0.8
"Male","Iceland","hstroke",0.8,0.8
"Male","Iceland","ihd",0.8,0.7
"Male","Iceland","istroke",0.8,0.75
"Female","India","hhd",0.8,0.9
"Female","India","hstroke",0.85,0.8
"Female","India","ihd",0.85,0.9
"Female","India","istroke",0.9,0.7
"Male","India","hhd",0.85,0.9
"Male","India","hstroke",0.8,0.85
"Male","India","ihd",0.85,0.95
"Male","India","istroke",0.85,0.75
"Female","Indonesia","hhd",0.8,0.9
"Female","Indonesia","hstroke",0.75,0.85
"Female","Indonesia","ihd",0.75,0.85
"Female","Indonesia","istroke",0.75,0.75
"Male","Indonesia","hhd",0.8,0.9
"Male","Indonesia","hstroke",0.75,0.8
"Male","Indonesia","ihd",0.8,0.95
"Male","Indonesia","istroke",0.8,0.85
"Female","Iran","hhd",0.8,0.8
"Female","Iran","hstroke",0.8,0.8
"Female","Iran","ihd",0.7,0.75
"Female","Iran","istroke",0.75,0.7
"Male","Iran","hhd",0.85,0.8
"Male","Iran","hstroke",0.8,0.8
"Male","Iran","ihd",0.8,0.85
"Male","Iran","istroke",0.8,0.75
"Female","Iraq","hhd",0.95,0.9
"Female","Iraq","hstroke",0.9,0.9
"Female","Iraq","ihd",0.85,0.9
"Female","Iraq","istroke",0.9,0.85
"Male","Iraq","hhd",0.85,0.85
"Male","Iraq","hstroke",0.85,0.85
"Male","Iraq","ihd",0.75,0.85
"Male","Iraq","istroke",0.85,0.85
"Female","Ireland","hhd",0.9,0.9
"Female","Ireland","hstroke",0.85,0.8
"Female","Ireland","ihd",0.8,0.75
"Female","Ireland","istroke",0.85,0.75
"Male","Ireland","hhd",0.85,0.8
"Male","Ireland","hstroke",0.8,0.85
"Male","Ireland","ihd",0.8,0.75
"Male","Ireland","istroke",0.8,0.7
"Female","Israel","hhd",0.9,0.9
"Female","Israel","hstroke",0.8,0.8
"Female","Israel","ihd",0.85,0.7
"Female","Israel","istroke",0.8,0.8
"Male","Israel","hhd",1,1
"Male","Israel","hstroke",0.85,0.85
"Male","Israel","ihd",0.95,0.8
"Male","Israel","istroke",0.8,0.85
"Female","Italy","hhd",0.9,0.9
"Female","Italy","hstroke",0.8,0.85
"Female","Italy","ihd",0.85,0.75
"Female","Italy","istroke",0.8,0.75
"Male","Italy","hhd",0.85,0.8
"Male","Italy","hstroke",0.75,0.8
"Male","Italy","ihd",0.85,0.75
"Male","Italy","istroke",0.8,0.7
"Female","Jamaica","hhd",0.9,0.95
"Female","Jamaica","hstroke",0.9,0.95
"Female","Jamaica","ihd",0.85,0.95
